COMPANYNAME,QUARTER,YEAR,QUESTION,ANSWER,CLEAR,ASSERTIVE,CAUTIOUS,OPTIMISTIC,SPECIFIC,RELEVANT
WBA,Q4,2019,"Good morning guys. Just a follow-up to that question from Ricky. So as we think about where the store base is going, going forward where you're adding a lot of services Kroger, LabCorp, FedEx, how should we be thinking about the gross profit dollars per store? I get the gross margin commentary of how you guys are obviously doing a lot of things there, but how should we be thinking about the gross margin profile -- or the gross profit dollars given that it becomes more like rent revenue rather than true gross profit margins?","Yeah. It's Alex here. Again we do have a successful front-end-business. And I know we've not spoken about that very much today, and that's improved materially from a profitability point of view over the last period. So I think that -- I think you should think about costs coming down from a rental point of view for sure both in terms of as we rent space but also as we take advantage of the fact that we're over-rented today and a lot of these leases are coming towards us in the years ahead. In terms of cost profit dollars, our intention is to drive sales and drive profitable growth going forward.I don't know James you want to speak about the rental opportunity?",2.0,2.0,1,2.0,0.0,2.0
ABC,Q4,2016,"Good morning, Steve and Tim. I wanted to get back to the competitive landscape that's been such a big part of the conversation lately. First, just to be clear, are you maintaining the same pricing structure and strategy for your independents on a like-for-like basis? And secondly, you provided some commentary in the beginning, Steve, but you guys have always prided yourselves on having solid pricing data analytic capabilities. So any insights from the analytic work that you have done to sort of help us reconcile on what the various distributors are saying? Thank you.","I would say that the consolidation, although they don't acquire them, our independents are largely characterized – almost all of our independents now belong to buying groups. I came into the Drug company in 2009 and that's really been more and more pronounced. And in specialty, the wholesalers usually owned or were very involved in at least in oncology with our buying groups, and the same is true of say, Besse Medical. So, this is a function of the market, and for the most part we have very productive relationships with those buying groups, but they are consolidating. I think we have close relationships with our key buying groups. That's gotten really dug in. CPA is a very good example. So, as far as your specific question on pricing, generics has probably reached its peak. We saw some contracts where we were getting high-teens generic compliance. And that's probably just not going to last, because the industry's changed. So we've been, as we said, very thoughtful about specialty pricing, and how that's going to change over, say, a nine-year contract that we have with CPA. You have to be cognizant of that, you have to be thoughtful of that, because ABC is always thinking about the long-term and what does that nine year contract look like. And just because in the last nine years contracts have invariably improved, it doesn't mean that the economics are going to change in the same ways. And that's why we said we're going to make money in different ways. We think biosimilars are going to be very important, new therapies, and that's a lot how we're thinking about things. I'll quickly make a comment on your analytics, and then it's an important question. So, I'll let Tim also comment. But, as the groups consolidate, I think they get more sophisticated. There's a lot of generic products out there. We manage thousands and thousands of contracts. But to the independent practice, we would say that 2,000 are very important, very critical, and that they're very aware of the pricing. I think we also have a responsibility here to have balanced pricing to our independent customers. They have a tough time with managed care contracts and making sure that every prescription that they dispense is profitable. And we are sensitive to those discussions or, in terms of being responsive to make sure that they are relevant and competitive in the marketplace as well. So those are the sort of discussions that we think are important. But they're not new. They've been going on for a long time. Any comments?",0.0,1.0,0,0.0,1.0,2.0
ABC,Q4,2016,"Good morning, Steve and Tim. I wanted to get back to the competitive landscape that's been such a big part of the conversation lately. First, just to be clear, are you maintaining the same pricing structure and strategy for your independents on a like-for-like basis? And secondly, you provided some commentary in the beginning, Steve, but you guys have always prided yourselves on having solid pricing data analytic capabilities. So any insights from the analytic work that you have done to sort of help us reconcile on what the various distributors are saying? Thank you.","No, Steve, I think that's well said. We gather intel, we do a lot of data analytics. And we just – we always want to make sure we have the appropriate price to our customer. And we really can't comment on trying to reconcile our situation to the other wholesalers. I think Steve mentioned, we've gone through the heavy lifting of contract renewals and we feel like we're getting past that. So, I think that is probably our comment on that question, Garen.",0.0,0.0,1,1.0,0.0,0.0
BMY,Q1,2021,"Good morning, everybody. Two, if I may. First, the office has now come out to restructure Part D with some participation by pharma through the cost structure of roughly 10%, even from a Democratic side -- from the Republican side. I was wondering if you could just kind of ballpark for us the relative impact of pharma participation in the cost structure of Part D and how does that translates into your own revenue.
And second, I was wondering how you're gonna handle the difference in prices for Zeposia between the MS market and the IBD market because of the two different price stance and you're transcending that. So how are you thinking about handles?
","OK, thank you. Thanks very much. Let me start there, and then, I'll ask Chris to address your question on Zeposia. So let me say, obviously, there is continued dialogue about the potential benefit design changes that may be discussed by the administration.
And I think it's premature to go into any assessment of what the Part D redesign -- what elements may be discussed going forward. I think what's important is a couple of things. So first of all, as you know, we have a very diversified portfolio across multiple payer segments and multiple therapeutic areas. And so there will always be different impacts on different parts of our portfolio from any benefit redesign and very different dynamics for a product like Revlimid versus a product like Eliquis.
So that makes it difficult to give you any insights into the impact of reforms because it really is important to know the details. What I think it's more important is the fact that from our perspective, it is critical that we look at reforms and have one objective in mind, which is to improve affordability for patients in Medicare Part D. That's sort of the core of the priority that the industry has. And the proposals that we'll continue to make as we interact with the administration, we'll be focused on elements of Part D redesign that include establishing out-of-pocket caps, reducing the overall impact to patients in the catastrophic phase, smoothing expenses throughout the year.
And so as proposals progress, I think it will be easier for us to provide insights into how that impacts our portfolio. Chris?
",2.0,1.0,1,1.0,1.0,2.0
BMY,Q1,2021,"Good morning, everybody. Two, if I may. First, the office has now come out to restructure Part D with some participation by pharma through the cost structure of roughly 10%, even from a Democratic side -- from the Republican side. I was wondering if you could just kind of ballpark for us the relative impact of pharma participation in the cost structure of Part D and how does that translates into your own revenue.
And second, I was wondering how you're gonna handle the difference in prices for Zeposia between the MS market and the IBD market because of the two different price stance and you're transcending that. So how are you thinking about handles?
","Yeah, thanks for the question. Obviously, we are keenly aware of the differential in prices between the MS market and UC. As you know, we priced Zeposia in line with the value it provides and ensuring the broadest patient access in the MS market. And as we think about UC, it's certainly too early at this point to discuss how we are thinking about pricing in UC.
What I would say is that we're going to factor price considerations. How we think about the broader access and the importance of access in IBD generally. And we have plans in place that we'll execute as we get closer to the approval of Zeposia in UC, but it's something we've been focused on for some time.
",2.0,1.0,1,1.0,1.0,2.0
TAP,Q3,2008,"Good morning, everyone. I want to very quickly follow up on those questions on Foster’s. Do you foresee having any role, either in the Board of Directors at Foster’s or any operational link-ups beyond what you already have with the brand?","No, we don’t see that presently, Carlos. We have the economic exposure that we’ve announced today, and we’ll just continue to review what happens with Foster’s strategically. And we continue to review what happens with the Foster’s strategic review and what their management does.",2.0,1.0,0,1.0,1.0,2.0
UHS,Q2,2012,"Good morning, thanks for taking my questions. Just a couple of quick ones on guidance. Can you give us an estimate of the impact that moving Auburn Regional Medical Center out of continuing ops had on the earnings guidance?","Just to be clear because of its relative immateriality we do not show or report Auburn as a discontinued op, we just sort of removed the detailed revenues and expenses and recorded the EBITDA loss of Auburn, which was a couple of million dollars in the quarter in the other operating expense line. Because we expect to dispose off Auburn in the third quarter, we’ve included in our guidance a comparable amount for Q3 and then assume that it’s no longer owned by us.",2.0,2.0,1,1.0,2.0,2.0
UHS,Q2,2012,"Good morning, thanks. Hey, Steve, I was hoping you could back on the volume side, obviously weak by geographies. But in terms of just service lines can you comment and give some kind of characterization of the volume, between say what looked better worse between say, ortho or cardio or any other specific business lines? And then on the topic of the weak volume, I know Garry asked about tighter utilization management in Behavioral Care, are you seeing anything different in your acute markets, would that be a contributor as well as the weak accounting.","Sure. Again, I think the trends, Frank, overall remain much the same and that is – and again I think A.J. was asking a similar question kind of from a different angle. But, we continue to see relatively steady volumes in our most tertiary, most severe procedures, as you would expect. Because quite frankly there sort of is no alternative inpatient treatment for those kinds of procedures. Within those kinds of procedures, we have seen a shift, as I think most of our peers have away from cardiac into orthopedics and certain other specialties over the last few years. We have seen the same decline in birth that many of our peers have seen. Again, I don’t necessarily feel like any of the trends that we have seen, other than sort of as indicated by the specific conditions in our markets are terribly different than what our peers say and experienced as well. As far as the utilization management goes, in effect I would give the same answer. I think we face the same increased pressure on rigorous review of the appropriateness of admissions as every hospital in the country and as a consequence we are feeling that same shift from inpatient to outpatient that again I think every hospital feels. But I don’t necessarily have any reason to believe that in our markets or in our hospitals we are sort of experiencing it in any sort of unique way or any differently than the average hospital in the country is experiencing it.",2.0,0.0,1,1.0,2.0,2.0
CVU,Q3,2019,"Good morning. Can you guys please give some clarity in terms of the previous calls, I thought it was an excellent question in terms of where you think the pretax margin you have a lot of awards and strong contracts here. Can you help us understand at steady state, please, where the potential is in pretax margins?","I'd really like to answer it this way, Jeff. The - when a year or two ago, we were probably in the, what would you say, 11%, 12% pretax margins. I would think that, that is reasonable for us to attain again. We were on track, and that was really kind of - on track to achieve that this year with the assumption that WMI's pretax income contribution would be up to a plan.So I think it's - if - that is something that we could reasonably attain in short order. Beyond that, the improvements to the gross margin that I mentioned before, a combination of not necessarily expanding our SG&A expenses, there's leverage there as we grow. So maybe a percentage or two higher than that in 2021.",2.0,0.0,1,2.0,2.0,2.0
GVNC,Q2,2008,"Good morning. Can you just give us an update, I think you mentioned in the press release that a 181 patients have been enrolled as of July, how is the enrollment, I mean, is it tracking according to your projections, is it going slower, going faster, is there enthusiasm among the investigators? When do you anticipate based on this rate of enrollment that the complete trial will be completed or a norm will be completed and then also can you just review for me when the next set of interim analysis, after the end of the analysis will occur?"," Ren, thanks for the question this is Paul. The enrollment we have looked at the beginning of the year within the six date patients per month range and actually for the first seven months of this year we’ve been at that higher ends so we actually average about 8 patients per month in the first seven months. So, we think that enrollment is good but lot of people think enrollment is kind of like an assembly line and a patient comes in on Tuesday and then another one Thursday and then another one on the next Tuesday, next Thursday and it’s actually not that way at all. So, what really happens is you will get patient coming in maybe none for a couple of weeks and then you get couple of weeks we have several each week. So, its important for us to look at the bigger picture which is a quarter or two quarters enrollment, which we see nice steady progress compared to last year. The other thing is we view it as a benchmark, the genuine tech study in pancreatic cancer, which of course, is a high quality company and we’ve been consistently this year outperforming that benchmark. So, we think taken in all the things together enrollment is doing well.
We also projected that 200 patient numbers at the end of the year and the reason for that Ren was alluded to in your question when is the next interim analysis going to be? So, it’s important for us, we felt to be sure that by the end of this year we basically had the patients enrolled that would be necessary for that second interim look and we were on track to do that. So, I think on both of those fronts we’re comfortable, having said that I know Mark and his teams are always looking at ways to improve the quality of the site and continue to focus on enrollment. So, they are doing two things now, they are working really hard to get the data ready for the analysis and to be sure that enrollment is moving forward.",2.0,2.0,0,2.0,2.0,2.0
POWL,Q4,2008,"Good morning. Congratulations on the quarter. Don, I am hoping you can quantify the revenues through electric power products just from your industrial utilities and traction power customers.","Give me a second. Looking at our fullyear fiscal 2008, utility market basically totaled around $172 million in total revenues, industrial market segment is around $400 million, traction power was just under $40 million, were basically electrical power products of the $611.5 million. Then the balance of process control was $27.2 million, which is again municipal market.",2.0,2.0,1,2.0,2.0,2.0
POWL,Q4,2008,"Good morning. Good quarter, congratulations. First question on process control segment. Sales were up $2 million in the quarter to $7.3 million that recorded a loss of $560,000 versus $42,000 profit a year ago. Can you just highlight what's responsible for the loss and how do you view that segment going forward?",The biggest impact occurred in the fourth quarter as basically our costs related to the claim we have with the City and County of San Francisco. The cost basically of that unusual item continues to impact the results of the segment.,2.0,1.0,1,1.0,0.0,2.0
SANM,Q4,2012,Good morning. I had a question around this PCB transition you’re talking about from your Malaysia facility. Your Malaysian footprint was about 5% of your revenues; are you completely closing the Malaysian facility or is it a subset of that facility?,"Okay, just to clarify your Malaysia question, we continue to have an integrated manufacturing facility, or EMS type facility in Penang, Malaysia, and what we’re in the process of transitioning is our printed circuit board facility which is in Kuching, Malaysia.",2.0,1.0,1,1.0,1.0,2.0
SANM,Q4,2012,Good morning. I had a question around this PCB transition you’re talking about from your Malaysia facility. Your Malaysian footprint was about 5% of your revenues; are you completely closing the Malaysian facility or is it a subset of that facility?,"Well, we’re going to be leaving some technology engineering group there that will be working on some research and development. So basically for all the practical purposes, we’re not going to be manufacturing printed circuit board at that factory in the future. And so really, the whole focus here, Wamsi, is to this new expansion that we created in China. It’s a really high technology product, and based on a present demand and a future demand, we believe we can provide a better solution from China and in other parts of the company. I think it’s also important that we continue to invest in this business substantially. So our capabilities today, even with transitioning Malaysia operation into China and other parts of the factories around the world, are a lot stronger. And we believe that the areas that we focus on, that this was the right solution for us going forward.",2.0,1.0,1,1.0,2.0,2.0
PM,Q1,2016,"Good morning. I just have two questions for you, a bit of follow-ups from earlier questions. I want to ask first if I could, when I look at the price realization in Asia, there was a larger effect from the Korea price benefit a year ago than I thought. I guess it does suggest that there was even stronger pricing in that Asia region than what I had modeled given that it was positive in the quarter. I guess I just want to understand that the comparison factor on pricing, obviously, was one of the major drags in the Asia division. That should help show better pricing in Q2 going forward based on what we know today. Is that a reasonable assumption?","It's a very reasonable assumption. You will still have a small, relative to the first quarter, small drag from Korea, but relatively not smaller than what we had in the first quarter. But the pricing in Asia in the quarter, okay, obviously masked by the Korea, but we had a very strong pricing in Indonesia, we had a pricing in Philippines, when we had a pricing in a few other locations. So, overall, I mean, Asia should be at a much better pricing level or price realizations level, which what you just saw in the Q1.",2.0,2.0,1,1.0,2.0,2.0
POWL,Q4,2008,"Good morning. I wanted to followup on an earlier question with regards to some of the productivity there. In past quarters, you talked about how many people you have been hiring and the ramp up there. Number one, are you still hiring at a pretty good rate? Number two, given the hiring that you have done over the past 1218 months, is that productivity starting to kick in with those newer workers?","Looking at what we're doing today, our overall employees remain relatively flat over the last few months. The hiring today is predominantly in replacement of individuals that leave, so our aggregate is basically flat. That number is decreasing as well because of, as we talked in the past, our highest risk period with new hires is the first six months or so. Actually, the highest risk is the first probably six weeks. After about six to nine months, we do a great job of converting a new employee into a longterm employee. Clearly, we have seen productivity improvements. In a project business, it's hard to develop the same metrics you do in repetitive manufacturing. I think, across the board, we're very comfortable that stability in the work force is improving and the benefits of that are beginning to be seen in our overall operating costs.",2.0,2.0,1,1.0,0.0,2.0
POWL,Q4,2008,"Good morning. I was wondering on a historical perspective, do you have a sense what kind of treasure threshold price on oil that your customers are more apt to go forward with projects and what kind of threshold price on oil is when they start to pull back on orders?","We don't have anything quantified. The only thing I can allude to is there's been a lot of articles written and some of our customers have stated they never made a single investment decision based on $150-a-barrel oil. I think the only thing that I can quantify that we have read was as it related to the tar sands projects, where they were looking at $45 to $55 to $60 a barrel made that economical. Nothing else that we have tangible that relates to where people are making their investment decisions.",2.0,1.0,0,1.0,2.0,2.0
DOV,Q2,2008,"Good morning. I wonder if you could give us a flavor for the trends geographically, what your potential exposure is to Europe, which is weakening in many countries and how much benefit you might be getting from strength in Asia and Latin America?","Alex, that is always very company specific and market specific. But I think we have a slide in our deck that shows our growth rate year-to-date. And the majority of our growth has come in Asia; that's been electronically driven. Plus, the other companies that we have that have strong Asian presence such as Knowles and others. Europe for us was actually up from a growth rate standpoint this year over last. Again, we have some businesses performing well there. Imaje, our product ID company certainly is located in Europe. SWEP [ph] has had a very good run in its heat exchanger business in Europe and we continue to see radar continues [ph] to build. They opened a new plant in China during the quarter. So they will... that will be increasing their international presence. So across the board, pretty good global engagement here. I know a lot of people are talking about Europe pulling back. Our rate of growth in Europe has kind of held in there fairly well. In fact, DE-STA-CO, which serves the automotive market in general is down certainly in U.S. The project with Audio and VW or Volkswagen in Europe have continued to keep that business quite active.",2.0,1.0,1,1.0,2.0,2.0
BLDR,Q2,2019,"Good morning. If you think about investing $30 million this year towards the value add business, does the newly acquired plants take some of the $30 million? Or do you are to that kind of that level of investment to increase the capacity and grow these new plants?","We're adding, yes it's incremental.",2.0,2.0,1,1.0,1.0,2.0
POWL,Q4,2008,"Good morning. Just a followup on Fred's questions about the orders. Given what's going on in the world, seems like a lot of refiners and chemical companies been cutting back their CapEx. So, where are you seeing the strength in this December quarter for orders? What kind of end markets are still strong?","The orders activity we have seen thus far in the first quarter continue to be representative of historical markets. It continues to have a strong impact from the oil and gas segment, both domestically as well as internationally. That comes back to, from the beginning, we really have not seen any, what I would call noticeable change in activity in the marketplace from and order activity standpoint.",2.0,2.0,1,1.0,1.0,2.0
POWL,Q4,2008,"Good morning. Just a question about the backlog. As a contractual matter, what are the circumstances in which a customer can either delay or cancel a project?","Delay. Typically, if the job is already on the floor, delays are in construction delays. We work with the customer all the time in those types of delays. If the job is not on the floor and we have not started that job, delays or deferrals or cancellations would be subject to cancellation clauses.",1.0,2.0,1,1.0,1.0,2.0
BLDR,Q2,2019,Good morning. Just a quick follow up on multifamily comment. You're not the first to talk about maybe a working through a little bit of backlog in multifamily in the second quarter. So just curious where you see that backlog now? Will we see a bit of a payback in future quarters or do feel like it's stabilized a little bit?,"I would say for us we're seeing stabilization. We think our backlog looks pretty good, growing in some parts of the country. So we feel pretty good about it.",2.0,0.0,1,2.0,1.0,2.0
BLDR,Q2,2019,Good morning. Just a quick follow up on multifamily comment. You're not the first to talk about maybe a working through a little bit of backlog in multifamily in the second quarter. So just curious where you see that backlog now? Will we see a bit of a payback in future quarters or do feel like it's stabilized a little bit?,"Yes. Yes, I would say in particular in the in the northeast, we're seeing some nice projects coming our way in the northeast part of the country.",2.0,2.0,1,2.0,1.0,2.0
GCI,Q3,2009,"Good morning. Just a quick question, and that is could you just update us where you are in your financial covenant ratios, please?","Sure. We will close the third quarter at about 3.03 times and our covenant is 3.5 times max, and as we’ve said previously, we had expected that the covenant would peak in the third quarter although interestingly, it’s not too far -- in fact, I think right on top of where it ended the second quarter and in the fourth quarter, we have about $55 million of severance cash expense that we took in the fourth quarter of last year that won't repeat. So we would anticipate that that ratio would be lower as well in the fourth quarter.",2.0,0.0,1,0.0,2.0,2.0
POWL,Q4,2008,"Good morning. Nice quarter in the face of some challenges. My first question relates to your '09 guidance, assuming SG&A remains roughly similar, tax rate roughly similar, all things being equal in that regard, your guidance appears to imply fairly minimal gross margin improvement relative to the second half of '08. Even given higher volumes, what would I expect maybe lower raw material costs, and what one would hope would be efficiency improvements at Power/Vac, can you kind of reconcile that for us please?","Incrementally, we will continue to show improvements as we go forward. Again, as we talked about, quartertoquarter performance will vary based on the projects that are actually shipped during the period. But the rate of improvement will become more and more challenging as we go forward.",2.0,2.0,1,1.0,1.0,2.0
POWL,Q4,2008,"Good morning. Nice quarter in the face of some challenges. My first question relates to your '09 guidance, assuming SG&A remains roughly similar, tax rate roughly similar, all things being equal in that regard, your guidance appears to imply fairly minimal gross margin improvement relative to the second half of '08. Even given higher volumes, what would I expect maybe lower raw material costs, and what one would hope would be efficiency improvements at Power/Vac, can you kind of reconcile that for us please?","That's a long reconciliation question, Fred. As we have talked about on various conference calls, we have been improving all throughout the year. As we always give in our guidance that says we are trying to get back to the best period of our peak before. We're getting pretty close to that. I don't know that we're going to see the step function changes that we have seen in the past over the quarters as it relates to operating efficiencies and productivity. I think we will continue to see improvement, but it's not going be the size that we saw in this last fiscal year.",2.0,2.0,0,2.0,1.0,2.0
VRTV,Q4,2018,"Good morning. On the Print segment, the margin improvement that you had in the fourth quarter was some on the restructuring and some on price. Can you kind of tell us little bit more about that and for your flat margin outlook kind of impact of each on that?","So, the margin improvement in Print was a direct result of the restructuring of the business that we initiated in 2018. Judy, this was a significant effort as part of reducing selling expenses in general, because the business is in structural decline. And so, that's the key driver of the margin improvement in 2018. In terms of, I think we said flattish in 2019, we do have some benefits coming from the restructuring carryover benefits. They're not as great and we anticipate that there's going to be an offset in both volume on that margin improvement, as well as -- well it's mostly volume impact in the Print segment to keep our margins relatively flat. It would be volume and bad debt.",2.0,2.0,1,1.0,1.0,2.0
TAP,Q3,2008,"Good morning. Peter, I just wanted to get back on Judy’s question relative to the Foster’s swap. If I understand the logic behind buying the instrument, it’s basically making an assumption that the Foster’s stock price is going to go up, so the question is why would Molson Coors be making that assumption? What other step is there that might be involved strategically beyond just taking a flier on the Foster’s shares?","There are two points that are really important. Why have we got this? I think that’s pretty straightforward as far as we’re concerned. The Australian market has been interesting to us. We’ve studied it for quite awhile. Foster’s is interesting. We had the opportunity to get into an economic exposure at an entry price that, to us, was very attractive. We didn’t want to put the business in a position where we had an over-exposure. We haven’t done that. What we’ve done, I think, is pretty prudent and sensible within that context. That’s the background. Yeah, I don’t want to misrepresent the Foster’s management, but I think they said that they were in a very fluid situation. We’ll continue to review our position, and whatever we do we’ll do in the best interest of our shareholders. I would caution that we could take the view that we could stay where we are, we could move forward, or we might move backward and out. Whatever we do will be in the best interest of our shareholders.",2.0,1.0,0,0.0,2.0,2.0
DOV,Q2,2008,"Good morning. Ron, I echo [ph] your sentiments. So on the just as the clarification, so the $0.04 of contribution from the impact of Crenlo and Triton. So Triton was... I think, it was just kind of breaking even. So the $0.04, is that really the way to look at a penny of contribution from Crenlo? Is that per quarter, is that the way to think about it?","I just want to qualify. Triton was losing money at the beginning of last year. But as we exited last year, Triton was, in fact, making money. So just swapping out Crenlo and Triton it's just an incremental $0.01 per quarter going forward.",2.0,1.0,1,1.0,2.0,2.0
DOV,Q2,2008,"Good morning. Ron, I echo [ph] your sentiments. So on the just as the clarification, so the $0.04 of contribution from the impact of Crenlo and Triton. So Triton was... I think, it was just kind of breaking even. So the $0.04, is that really the way to look at a penny of contribution from Crenlo? Is that per quarter, is that the way to think about it?","I think last year, when we looked at last year Triton had a significant loss and so in effect, Crenlo, so this year we are accounting as the penny a quarter. If you look at it as the price of Crenlo standalone, it would be more like $0.02 a quarter.",2.0,1.0,1,1.0,2.0,2.0
UHS,Q2,2012,"Good morning. Thanks for taking the call. Alan I would be interested to get your perspective on Washington heading into the elections and with the fiscal [inaudible] coming up, the potential that congress addresses sequestration either in a lame duck or in a new congress?","Yeah. Thought you were going to ask about anything that is new. Nothing happens before the election, and lame ducks are difficult. So we don’t really have any indication except that – Vice President Cheney came out a sort of seclusion and went up on The Hill and talked about the defense. So I think they are going to have to try and address something but we don’t have any indication as to where and how we accept that. The other thing I will say is that we all are in good shape with the administration. The hospitals are and I think we have got them on the defensive a little bit because of the state’s reaction to Medicaid. So I think that – I know for a fact that the administration is going to try and be helpful to hospitals.",2.0,0.0,1,2.0,1.0,2.0
HSY,Q3,2020,"Good morning. Thanks very much and thanks for a great Halloween, personally and professionally. The leanest of my financial ambition has been to give out full-size candy bars, which I was again able to execute. So, thank you. Two quick ones. I noticed in the data you're pricing in North America is plus 1.9 on the takeaway, plus 3.3 is what you reported. Is that just the math or is there some shrinking or different mix within retailer margins there is my first question.
And secondly, historically, when you look at -- today's velocity is generally tomorrow's distribution and your velocity has been fantastic. This is a weird year, a lot of people's velocity is fantastic. But do you anticipate gaining shelf space in that every day place -- you look at these baking items, you look at these take-home items, like this is phenomenally better velocity forget about just the total sales that you're seeing there. Do you anticipate significant share gains, perhaps structural ones -- I'm talking share of shelf here, as retailers do resets for Holiday and going forward? Thank you.","Sure. So, two parts to your question, the first was around price and some of the discrepancy. And yes, there is a mix impact. Honestly, it might be best if Melissa goes and takes you through a deep dive on that, because there is some complexity associated with it. But the P&L is definitely accurate. As it relates to velocity, yeah, good velocity, I like your phrase today's velocity is tomorrow's distribution, I do think that's a very accurate.
As we look at the season, you asked about Holiday, we certainly have been able to garner incremental distribution, incremental SKUs throughout the year, both in terms of every day and seasons, because we've been able to deliver and the items that we then put on shelf not only could we supply them, but then they moved. So we do feel good about that.
We'll continue to take a very disciplined approach and be very careful that we don't over skew, so we really have to look at the productivity of every SKU and as long as it's good, we will be there. But yes, we have been able to gain some distribution. And going forward, I anticipate that we will continue to be able [Phonetic] to perhaps even through the first part of next year.
",2.0,2.0,1,1.0,1.0,2.0
TTC,Q3,2011,"Good, a couple of questions, first kind of around 2012, do you have any sense of what inventory strategies might be at the dealers and the retailers in the coming season?","When you say inventory strategies, as we have discussed, we think field inventory is in good shape, right. It's up a bit with snow but that's moving as we speak. And our focus, as we've talked many times, focus is on retail. If you take care of retail everything else takes care of itself. So, we wouldn't expect to see dealers on the Residential side or the Professional side try to drive a material change in their inventory levels. I mean, not sure they can; that was certainly an issue that we worked on as we put this working capital initiative in place through 2009, 2010. Now, it goes much farther, we won't have the inventory there to support the sales. So, no, we’re in good shape there and we wouldn’t expect to see any significant change there.",2.0,2.0,1,2.0,1.0,2.0
LABL,Q3,2014,"Good, good. And turning to California; am I correct in understanding from what you said the shortfall from California this quarter is really volume and not a price driven effect?",Correct and we see that volume is climbing that we already see that our year-on-year sales for January have made up the whole of the December quarter sales shortfall.,2.0,1.0,1,1.0,1.0,2.0
VCEL,Q3,2017,"Good, so very nice quarter and again the MACI launchings to be doing particularly well. Just looking kind of down the road maybe a couple years, ultimately how big do you think this product can get and is just something where you would have to expand manufacturing at some point?","Yes, Ted, I’ll start as we talk about often in our corporate presentation and as I mentioned on my prepared remarks, we think we are probably penetrating maybe 10% of the patients that we believe could benefit from MACI annually. So we think there's just a kind of upside for this product as we continue to build the brand over the foreseeable future. In terms of manufacturing capacity as Dan alluded to, we had a much larger footprint from a clean room perspective for Carticel and we had a separate MACI suite and once we removed Carticel from the market in the middle of this year, Dan and his team have embarked on converting part of the Carticel clean room over to MACI cell. We don't have any real estate constraints that we need to expand beyond that again. We're certain to be able to do that. So for us it's more about getting the certain volume levels. We may have to add some headcount at some point down the line, but there's no real estate constraint for us in terms of projected volumes into the future.",1.0,2.0,1,2.0,1.0,1.0
BLDR,Q3,2018,"Good. And then the last one I had, the 3% growth you guys registered in single-family sales outpaced the national numbers for the third quarter. Can you talk about – I mean, and then that's something I know you guys typically do on a routine basis, but can you talk about, as we move into 2019 and if starts are flat or a little bit softer than people expect, do you think the value-add products that you have out there and some of the things you're going to be introducing will allow you to keep growing faster than the market?
","Certainly, yeah, that's the plan. And I think, as I said earlier, I don't see all of a sudden having to go out of labor to build houses. And so I think that's going to continue to be an issue for the builders, and I think the builders are going to continue to look for ways to more efficiently build homes, build homes more quickly. So, yes, I think the investment we're making in the value-added products will allow us to grow faster than whatever the market is giving us.",2.0,2.0,1,2.0,2.0,2.0
UNVR,Q1,2017,"Good. To improve relations with your suppliers, are you looking to be going to like more self-sourcing for your larger product?","So, I think the person that has done the most over the years to improve relations with suppliers, and we certainly have seen it happen in Europe, and it's happening here in the U.S. now, and he'll have a global role to do it, is David. So I'm going to let David Jukes answer that question.",2.0,2.0,1,2.0,1.0,2.0
UNVR,Q1,2017,"Good. To improve relations with your suppliers, are you looking to be going to like more self-sourcing for your larger product?","Thank you, Steve. I think there's two parts to the answer. One is very different for the undifferentiated products than for the differentiated products. But I think the consistent scene that we have is really changing the conversation with our suppliers, changing to conversation really with our partners, because that's what they are. These are long-term partners who have been with us for many years. And we choose our partners very carefully, and we work hard to earn the right to stay their partner. And we partner with people who are long-term winners in their space. So, it's not necessarily about sole arrangements. For some of the differentiated products it will be sole arrangements because it's difficult to invest the time in promoting someone's molecule, only to have it undercut by someone else, or it's difficult to have the degree of transparency that we'll need with our partners when developing in a specialty space if you have a crowded territory with other distributes. For the larger products, it's much more about changing that conversation, understanding the ebbs and flows of the partners' supply, and working with them and collaborating with them. So I'd think much more about changing the conversation. This is not an adversarial conversation, Steve mentioned that earlier on. This is really a conversation between partners. Many of those partnerships predate me, and many of them will go on longer after me. And that's the way we have to view it. We have to view ourselves as good stewards of that partnership while we're in place.",2.0,2.0,1,1.0,1.0,2.0
AVNR,Q4,2013,"Got it and per the press release, you said that the change from baseline was -- the magnitude of change from baseline and benefit from baseline in the active group was around what you expected, is that correct?
","Yes, give or take is what we expected.
",2.0,1.0,1,2.0,2.0,2.0
IM,Q2,2007,"Got it and then just in terms of stock-comp, is the current quarter level of stock comp about the right number to think about for the rest of the year?","Yeah, roughly. I mean they bounce around by about $1 million or shy of that and the increase largely is due to two factors one, at the beginning of the year we implemented a new retirement provision within our overall long-term incentive scheme plan for certain aged and tenured employees as well as we had to true up some of our forfeiture assumptions that you have to put in to the overall model in Black Shoals. So at this point I think it's roughly about right within give or take a $1 million.",2.0,2.0,1,1.0,2.0,2.0
RHT,Q3,2013,"Got it, got it. And then just one question on RHEV. How is RHEV doing -- now that you have version 3.0 out there for a while, how has RHEV been tracking versus your expectations since the most recent release?","I think one of the important points on RHEL is that 5 of the top 30 deals had included a RHEV component. And it gets back to this land-and-expand strategy, it's get into these accounts and then grow from there. So 5 out of the top 30 is a good metric for us.",2.0,2.0,1,1.0,2.0,2.0
